Stream,Waterbody,SurveyYear,N_MR
Clear Ck. ,Clear Creek,2002,1302
Clear Ck. ,Clear Creek,2003,910
Clear Ck. ,Clear Creek,2004,610
Clear Ck. ,Clear Creek,2005,74
Clear Ck. ,Clear Creek,2006,114
Clear Ck. ,Clear Creek,2007,63
Clear Ck. ,Clear Creek,2008,156
Clear Ck. ,Clear Creek,2009,140
Clear Ck. ,Clear Creek,2010,2058
Crooked Fork Ck. ,Crooked Fork Lochsa River,2000,550
Crooked Fork Ck. ,Crooked Fork Lochsa River,2001,1793
Crooked Fork Ck. ,Crooked Fork Lochsa River,2002,864
Crooked Fork Ck. ,Crooked Fork Lochsa River,2003,594
Crooked Fork Ck. ,Crooked Fork Lochsa River,2004,275
Crooked Fork Ck. ,Crooked Fork Lochsa River,2006,169
Crooked Fork Ck. ,Crooked Fork Lochsa River,2007,374
Crooked Fork Ck. ,Crooked Fork Lochsa River,2008,351
Crooked Fork Ck. ,Crooked Fork Lochsa River,2009,136
Crooked Fork Ck. ,Crooked Fork Lochsa River,2011,426
Crooked Fork Ck. ,Crooked Fork Lochsa River,2012,455
Crooked R. ,Crooked River,2003,1637
Crooked R. ,Crooked River,2004,224
Crooked R. ,Crooked River,2005,260
Crooked R. ,Crooked River,2007,99
Crooked R. ,Crooked River,2008,105
Crooked R. ,Crooked River,2009,86
Crooked R. ,Crooked River,2010,51
Crooked R. ,Crooked River,2011,121
Johnson Ck. ,Johnson Creek,1998,107
Johnson Ck. ,Johnson Creek,2000,110
Johnson Ck. ,Johnson Creek,2001,1341
Johnson Ck. ,Johnson Creek,2002,1105
Johnson Ck. ,Johnson Creek,2003,714
Johnson Ck. ,Johnson Creek,2004,268
Johnson Ck. ,Johnson Creek,2005,119
Johnson Ck. ,Johnson Creek,2006,113
Johnson Ck. ,Johnson Creek,2007,336
Lake Ck. ,Lake Creek,1998,49
Lake Ck. ,Lake Creek,1999,62
Lake Ck. ,Lake Creek,2000,281
Lake Ck. ,Lake Creek,2001,646
Lake Ck. ,Lake Creek,2002,407
Lake Ck. ,Lake Creek,2003,489
Lake Ck. ,Lake Creek,2004,383
Lake Ck. ,Lake Creek,2005,135
Lake Ck. ,Lake Creek,2006,84
Lake Ck. ,Lake Creek,2007,86
Lake Ck. ,Lake Creek,2008,276
Lake Ck. ,Lake Creek,2009,388
Lake Ck. ,Lake Creek,2010,462
Lake Ck. ,Lake Creek,2011,263
Lake Ck. ,Lake Creek,2012,265
Newsome Ck. ,Newsome Creek,2002,239
Newsome Ck. ,Newsome Creek,2003,282
Newsome Ck. ,Newsome Creek,2004,88
Newsome Ck. ,Newsome Creek,2005,32
Newsome Ck. ,Newsome Creek,2006,2
Pahsimeroi R.,Pahsimeroi River,2008,226
Pahsimeroi R.,Pahsimeroi River,2009,368
Pahsimeroi R.,Pahsimeroi River,2010,332
Pahsimeroi R.,Pahsimeroi River,2011,385
Pahsimeroi R.,Pahsimeroi River,2012,243
Red R. ,Red River,2004,84
Red R. ,Red River,2005,72
Red R. ,Red River,2006,126
Red R. ,Red River,2008,387
Red R. ,Red River,2009,230
Red R. ,Red River,2010,370
Red R. ,Red River,2011,155
Red R. ,Red River,2012,194
Secesh R. ,Secesh River,2004,923
Secesh R. ,Secesh River,2005,341
Secesh R. ,Secesh River,2006,226
Secesh R. ,Secesh River,2007,305
Secesh R. ,Secesh River,2008,925
Secesh R. ,Secesh River,2009,1147
Secesh R. ,Secesh River,2010,1199
Secesh R. ,Secesh River,2011,962
Secesh R. ,Secesh River,2012,908
SF Salmon R. ,South Fork Salmon River,1992,1951
SF Salmon R. ,South Fork Salmon River,1993,1829
SF Salmon R. ,South Fork Salmon River,1994,245
SF Salmon R. ,South Fork Salmon River,1995,154
SF Salmon R. ,South Fork Salmon River,1996,246
SF Salmon R. ,South Fork Salmon River,1997,684
SF Salmon R. ,South Fork Salmon River,1998,491
SF Salmon R. ,South Fork Salmon River,1999,787
SF Salmon R. ,South Fork Salmon River,2000,1333
SF Salmon R. ,South Fork Salmon River,2001,2308
SF Salmon R. ,South Fork Salmon River,2002,1469
SF Salmon R. ,South Fork Salmon River,2003,1683
SF Salmon R. ,South Fork Salmon River,2004,2326
SF Salmon R. ,South Fork Salmon River,2005,373
SF Salmon R. ,South Fork Salmon River,2006,580
SF Salmon R. ,South Fork Salmon River,2007,310
SF Salmon R. ,South Fork Salmon River,2008,499
SF Salmon R. ,South Fork Salmon River,2009,447
SF Salmon R. ,South Fork Salmon River,2010,1243
SF Salmon R. ,South Fork Salmon River,2011,644
SF Salmon R. ,South Fork Salmon River,2012,511
Upper Salmon R. ,Salmon River,1999,147
Upper Salmon R. ,Salmon River,2004,718
Upper Salmon R. ,Salmon River,2005,445
Upper Salmon R. ,Salmon River,2006,407
Upper Salmon R. ,Salmon River,2007,209
Upper Salmon R. ,Salmon River,2008,585
Upper Salmon R. ,Salmon River,2009,452
Upper Salmon R. ,Salmon River,2010,740
Upper Salmon R. ,Salmon River,2011,645
Upper Salmon R. ,Salmon River,2012,795
